source_row_number,record_id,customer_id,source_file,source_type,customer_name_raw,customer_name_clean,phone_raw,phone_clean,email_raw,email_clean,invoice_no_raw,invoice_no_clean,transaction_date_raw,transaction_date_clean,service_or_product_raw,service_or_product_clean,category_raw,category_clean,branch_raw,branch_clean,city_raw,city_clean,country,amount_raw,amount_clean,quantity,duplicate_flag,missing_field_flag,contact_valid_flag,date_valid_flag,amount_valid_flag,validation_status,review_notes
1,REC-00001,CUST-1000,branch_north.xlsx,branch,Phoebe Winslow,Phoebe Winslow,+44 7879 591 310,07879591310,phoebe.winslow@@examplemail.co.uk,phoebe.winslow@examplemail.co.uk,INV-1000,INV-1000,04 Apr 2025,2025-04-04,Maint Visit,Maintenance Visit,Basic,Standard,NORTH BRANCH,North Branch,Leeds,Leeds,United Kingdom,200,200.0,10.0,,,,,,,
2,REC-00002,CUST-1001,branch_north.xlsx,branch,THEODORE MARLOWE,Theodore Marlowe,00447599154414,07599154414,theodore.marlowe@@examplemail.co.uk,theodore.marlowe@examplemail.co.uk,INV-1001,INV-1001,25/03/25,2025-03-25,deep cleaning package,Deep Cleaning,prem,Premium,Central,Central Office,bristol,Bristol,United Kingdom,200,200.0,10.0,,,,,,,
3,REC-00003,CUST-1002,branch_north.xlsx,branch,florence prescott,Florence Prescott,00447630833445,07630833445,florence.prescott@examplemail.co.uk,florence.prescott@examplemail.co.uk,INV 1002,INV-1002,2025-02-01,2025-01-02,Store Refresh,Store Refresh,Premium,Premium,Central Hub,Central Branch,Bristol City,Bristol,United Kingdom,600,600.0,30.0,,,,,,,
4,REC-00004,CUST-1003,branch_north.xlsx,branch,Beatrice Harrington,Beatrice Harrington,00447941889393,07941889393,BEATRICE.HARRINGTON@EXAMPLEMAIL.CO.UK,beatrice.harrington@examplemail.co.uk,INV 1003,INV-1003,12 March 2025,2025-03-12,maintenance visit,Maintenance Visit,STD,Standard,South,South Branch,Leeds,Leeds,United Kingdom,£275,275.0,10.0,,,,,,,
5,REC-00005,CUST-1004,branch_north.xlsx,branch,Edward Marlowe,Edward Marlowe,07509760,,edward.marlowe@examplemail.co,edward.marlowe@examplemail.co.uk,INV-1004,INV-1004,07 Feb 2025,2025-02-07,inventory audit,Inventory Audit,Basic,Standard,North Branch,North Branch,BRISTOL,Bristol,United Kingdom,250.00,250.0,10.0,,,,,,,
6,REC-00006,CUST-1005,branch_north.xlsx,branch,daniel chadwick,Daniel Chadwick,00447336696312,07336696312,daniel.chadwick@@examplemail.co.uk,daniel.chadwick@examplemail.co.uk,1005,INV-1005,19 Mar 2025,2025-03-19,Maintenance Visit,Maintenance Visit,Basic,Standard,Central,Central Branch,BRISTOL,Bristol,United Kingdom,600,600.0,30.0,,,,,,,
7,REC-00007,CUST-1006,branch_north.xlsx,branch,Arthur Templeton,Arthur Templeton,07806157,,arthur.templeton@examplemail.co,arthur.templeton@examplemail.co.uk,INV-1006,INV-1006,2025-04-01,2025-01-04,Refresh,Refresh,Premium,Premium,South,South Branch,birminham,Birmingham,United Kingdom,550.00,550.0,20.0,,,,,,,
8,REC-00008,CUST-1007,branch_north.xlsx,branch,Freya Crawford,Freya Crawford,07966647391,07966647391,freya.crawford@examplemail.co,freya.crawford@examplemail.co.uk,INV-1007,INV-1007,22-03-2025,2025-03-22,Install Support,Installation Support,Basic,Standard,Central Hub,South Branch,bristol,Leeds,United Kingdom,275,275.0,10.0,,,,,,,
9,REC-00009,CUST-1008,branch_north.xlsx,branch,Poppy Templeton,Poppy Templeton,00000000000,,poppy.templeton@examplemail.co.uk,poppy.templeton@examplemail.co.uk,1008,INV-1008,03/04/25,2025-04-03,Maint Visit,Maintenance Visit,STD,Standard,North,North Branch,Leedz,Leeds,United Kingdom,190.00,190.0,20.0,,,,,,,
10,REC-00010,CUST-1009,branch_north.xlsx,branch,POPPY SINCLAIR,Poppy Sinclair,+44 7508 157 429,07508157429,poppy.sinclair@examplemail.co,poppy.sinclair@examplemail.co.uk,inv-1009,INV-1009,14/03/25,2025-03-14,maintenance visit,Maintenance Visit,Standard,Standard,NORTH HQ,North Branch,birminham,Birmingham,United Kingdom,300,300.0,20.0,,,,,,,
11,REC-00011,CUST-1010,branch_north.xlsx,branch,sophie bramwell,Sophie Bramwell,+44 7153 992 714,07153992714,sophie.bramwell@examplemail.co,sophie.bramwell@examplemail.co.uk,inv 1010,INV-1010,26/02/25,2025-02-26,Operational Check,Operational Check,Basic,Standard,South Branch,South Branch,Mcr,Manchester,United Kingdom,500,500.0,20.0,,,,,,,
12,REC-00012,CUST-1011,branch_north.xlsx,branch,Clara Bennett,Clara Bennett,00000000000,,CLARA.BENNETT@EXAMPLEMAIL.CO.UK,clara.bennett@examplemail.co.uk,inv 1011,INV-1011,13 March 2025,2025-03-13,Prem Consult,Prem Consult,premium service,Premium,Central,Central Branch,Birmingham,Birmingham,United Kingdom,£285,285.0,30.0,,,,,,,
13,REC-00013,CUST-1012,branch_north.xlsx,branch,Sebastian Chadwick,Sebastian Chadwick,07214 518 079,07214518079,sebastian.chadwick@examplemail.co,sebastian.chadwick@examplemail.co.uk,INV1012,INV-1012,06/02/25,2025-02-06,customer care review,Customer Care Review,Std,Standard,South Branch,South Branch,BRISTOL,Bristol,United Kingdom,450,450.0,20.0,,,,,,,
