CUSTOMER_NAME,PHONE,EMAIL,INVOICE,TRANS_DATE,ITEM_DESC,CAT,LOCATION_BRANCH,LOCATION_CITY,QUANTITY,VALUE
FLORENCE CHADWICK,00000000000, florence.chadwick@examplemail.co.uk ,1180,2025-02-27,MAINTENANCE VISIT,STANDARD,CENTRAL OFFICE,BRISTOL ,2,350
DANIEL COLLINS,00000000000, daniel.collins@examplemail.co.uk ,INV1181,10-03-2025,INVENTORY AUDIT,STD,NORTH,BRISTOL,4,600
SOPHIE BRAMWELL,00000000000,nil,INV1182,11-02-2025,ON SITE SETUP,STD,SOUTH,MANCHESTER,1,275
IVY LANGLEY,+44 7477 698 143,ivy.langley@examplemail.co,INV1183,19 March 2025,PREMIUM CONSULTATION,PREMIUM,SOUTH,BIRMINHAM,3,750
NATHAN BRAMWELL,N/A, NATHAN.BRAMWELL@EXAMPLEMAIL.CO.UK ,INV1184,28 March 2025,INSTALLATION SUPPORT,BASIC,SOUTH,MANCHESTER,2,350
MATILDA WHITMORE,N/A,matilda.whitmore@@examplemail.co.uk,INV1185,2025-02-21,ON SITE SETUP,BASIC,CENTRAL OFFICE,MCR,2,350
ARTHUR MERCER,N/A,arthur.mercer@@examplemail.co.uk,INV1186,2025-02-10,OPERATIONAL CHECK,STD,NORTH,BIRMINGHAM,4,700
HUGO WINSLOW,07570040006,HUGO.WINSLOW@@EXAMPLEMAIL.CO.UK,INV1187,15-02-2025,CUSTOMER CARE REVIEW,STD,CENTRAL,BRISTOL ,3,0
BEATRICE BRAMWELL,N/A,beatrice.bramwell@examplemail.co,INV1188,16-03-2025,CUSTOMER CARE REVIEW,STD,NORTH BRANCH,BRISTOL CITY,1,275
MATILDA AINSWORTH,N/A, matilda.ainsworth@examplemail.co.uk ,INV1189,26 February 2025,ON SITE SETUP,STANDARD,NORTH HQ,MANCHESTER,1,175
GEORGE LANGLEY,00000000000,unknown,INV1190,12 February 2025,DEEP CLEANING PACKAGE,P,CENTRAL,LEEDS,3,0
SAMUEL ELLISON,00000000000,samuel.ellison@@examplemail.co.uk,INV1191,08/02/25,CUSTOMER CARE REVIEW,STD,NORTH HQ,BIRMINHAM,4,900
ALFIE AINSWORTH,00000000000,alfie.ainsworth@examplemail.co.uk,1192,2025-04-02,OPERATIONAL CHECK,BASIC,SOUTH,MANCHESTER ,2,450
EDWARD PRESCOTT,N/A,EDWARD.PRESCOTT@EXAMPLEMAIL.CO.UK,INV1193,20-03-2025,INVENTORY AUDIT,BASIC,CENTRAL BRANCH,BRISTOL CITY,1,95
EDWARD MARLOWE,N/A,nil,INV1194,10 January 2025,DEEP CLEANING PACKAGE,P,NORTH HQ,BRISTOL,2,240
FLORENCE CHADWICK,00000000000, FLORENCE.CHADWICK@EXAMPLEMAIL.CO.UK ,INV1195,06/02/25,DEEP CLEANING PACKAGE,P,CENTRAL,BRISTOL,3,285
PHOEBE WINSLOW,+44 7879 591 310,phoebe.winslow@@examplemail.co.uk,INV1196,12 Mar 2025,INSTALLATION SUPPORT,STD,NORTH HQ,LEEDS,1,250
DANIEL CHADWICK,N/A,nil,INV1197,2025-03-18,DEEP CLEANING PACKAGE,PREM,CENTRAL HUB,BRISTOL,1,250
GEORGE BLACKWELL,N/A,unknown,INV1198,2025-01-22,PREMIUM CONSULTATION,PREMIUM,SOUTH,MANCHESTER,2,350
PHOEBE WINSLOW,00000000000,unknown,INV1199,11-02-2025,PRIORITY SERVICE CALL,PREMIUM SERVICE,NORTH,LEEDZ,4,480
IMOGEN KENSINGTON,07624 232 414,unknown,1200,09 Mar 2025,STORE REFRESH,PREMIUM,CENTRAL,MCR,2,0
LOUIS PRITCHARD,N/A,louis.pritchard@examplemail.co,INV1201,03 April 2025,PREMIUM CONSULTATION,PREM,CENTRAL HUB,BRISTOL CITY,4,0
EDWARD HOLLIS,N/A,edward.hollis@examplemail.co,1202,11 Mar 2025,PRIORITY SERVICE CALL,PREMIUM SERVICE,NORTH BRANCH,BRISTOL,2,0
MAX WHITMORE,00447604011128,MAX.WHITMORE@EXAMPLEMAIL.CO,INV1203,02-04-2025,STORE REFRESH,P,NORTH BRANCH,LEEDS,1,175
AMELIA DARLINGTON,07812308209,nil,INV1204,11-03-2025,INSTALLATION SUPPORT,STD,CENTRAL OFFICE,LEEDS,1,200
THOMAS SINCLAIR,N/A,unknown,1205,04/04/25,INSTALLATION SUPPORT,STANDARD,NORTH BRANCH,MANCHESTER,3,285
ALICE LOWTHER,00000000000,ALICE.LOWTHER@@EXAMPLEMAIL.CO.UK,INV1206,28 Jan 2025,INSTALLATION SUPPORT,STD,CENTRAL OFFICE,LEEDS,3,450
IVY BENNETT,00000000000,IVY.BENNETT@EXAMPLEMAIL.CO,INV1207,2025-03-23,ON SITE SETUP,STANDARD,NORTH,BRISTOL,4,600
SEBASTIAN CHADWICK,N/A,unknown,INV1208,2025-03-15,PREMIUM CONSULTATION,PREMIUM,SOUTH OFFICE,BRISTOL,1,250
ELEANOR HUXLEY,N/A,nil,INV1209,22-02-2025,PREMIUM CONSULTATION,P,SOUTH BRANCH,BRISTOL,3,285
EVIE HUXLEY,00000000000,nil,1210,08-03-2025,MAINTENANCE VISIT,BASIC,SOUTH,BRISTOL,3,0
AMELIA BRAMWELL,N/A,nil,INV1211,2025-03-25,INVENTORY AUDIT,BASIC,SOUTH OFFICE,BRISTOL CITY,3,525
