Name,Old Phone,New Phone,Old Email,New Email,Branch Update,City Correction,Comment
Amelia Darlington,,7812308209, amelia.darlington@examplemail.co.uk ,amelia.darlington@examplemail.co.uk,CENTRAL BRANCH,Leedz,admin amended
Arthur Mercer,07463016614,7463016614,arthur.mercer@@examplemail.co.uk,arthur.mercer@examplemail.co.uk,NORTH BRANCH,BIRMINGHAM,email corrected
Phoebe Winslow,+44 7879 591 310,7879591310,phoebe.winslow@@examplemail.co.uk,phoebe.winslow@examplemail.co.uk,NORTH BRANCH,Leeds,admin amended
Samuel Blackwell,,7461203124,samuel.blackwell@examplemail.co,samuel.blackwell@examplemail.co.uk,central office,bristol ,admin amended
Imogen Kensington,,7624232414,IMOGEN.KENSINGTON@EXAMPLEMAIL.CO.UK,imogen.kensington@examplemail.co.uk,Central Hub,MANCHESTER,branch updated
Rosie Collins,07902099,7352027504,rosie.collins@examplemail.co,rosie.collins@examplemail.co.uk,North,Leeds,branch updated
Hugo Hollis,07262 915 636,7262915636,hugo.hollis@@examplemail.co.uk,hugo.hollis@examplemail.co.uk,NORTH BRANCH,Bham,email corrected
Eliza Ellison,+44 7220 117 054,7220117054,ELIZA.ELLISON@EXAMPLEMAIL.CO.UK,eliza.ellison@examplemail.co.uk,south,Birmingham,confirmed by client
Theodore Marlowe,00447599154414,7599154414,theodore.marlowe@@examplemail.co.uk,theodore.marlowe@examplemail.co.uk,Central,bristol ,confirmed by client
Ivy Bennett,00000000000,0,ivy.bennett@examplemail.co,ivy.bennett@examplemail.co.uk,North Branch,BRISTOL,branch updated
Rosie Templeton,07750572,7942764719,rosie.templeton@examplemail.co.uk,rosie.templeton@examplemail.co.uk,South,manchester ,email corrected
Clara Bennett,00000000000,0,CLARA.BENNETT@EXAMPLEMAIL.CO.UK,clara.bennett@examplemail.co.uk,Central,Birmingham,admin amended
Luke Winslow,00000000000,0,luke.winslow@examplemail.co.uk,luke.winslow@examplemail.co.uk,Central,Birmingham,confirmed by client
Sophie Hollis,07705 557 720,7705557720,sophie.hollis@examplemail.co,sophie.hollis@examplemail.co.uk,Central,Birmingham,email corrected
Alice Waverley,00447731924051,7731924051,ALICE.WAVERLEY@EXAMPLEMAIL.CO.UK,alice.waverley@examplemail.co.uk,south office,LEEDS,email corrected
Daniel Bennett,+44 7437 710 224,7437710224,DANIEL.BENNETT@EXAMPLEMAIL.CO.UK,daniel.bennett@examplemail.co.uk,South Branch,BIRMINGHAM,confirmed by client
Arthur Mercer,,7463016614,arthur.mercer@@examplemail.co.uk,arthur.mercer@examplemail.co.uk,NORTH BRANCH,birminham,email corrected
George Sutton,,7200140141, george.sutton@examplemail.co.uk ,george.sutton@examplemail.co.uk,central office,BIRMINGHAM,admin amended
Samuel Ellison,07592080,7925942935,samuel.ellison@@examplemail.co.uk,samuel.ellison@examplemail.co.uk,north,BIRMINGHAM,branch updated
Edward Hollis,00000000000,0,edward.hollis@examplemail.co,edward.hollis@examplemail.co.uk,north,Bristol,branch updated
Jack Bennett,+44 7903 132 646,7903132646,jack.bennett@examplemail.co.uk,jack.bennett@examplemail.co.uk,Central Hub,birminham,email corrected
Freya Crawford,,0, freya.crawford@examplemail.co.uk ,freya.crawford@examplemail.co.uk,Central Hub,bristol ,email corrected
Martha Kensington,07174041,7960892562,MARTHA.KENSINGTON@EXAMPLEMAIL.CO.UK,martha.kensington@examplemail.co.uk,South Branch,Leedz,branch updated
Zara Pritchard,00000000000,0,ZARA.PRITCHARD@EXAMPLEMAIL.CO.UK,zara.pritchard@examplemail.co.uk,North Branch,Mcr,confirmed by client
Rosie Collins,07902099,7870544763,rosie.collins@examplemail.co,rosie.collins@examplemail.co.uk,North,Leeds,branch updated
Samuel Whitmore,00000000000,0,SAMUEL.WHITMORE@EXAMPLEMAIL.CO.UK,samuel.whitmore@examplemail.co.uk,central office,MANCHESTER,confirmed by client
Louis Pritchard,+44 7841 218 491,7841218491,louis.pritchard@examplemail.co,louis.pritchard@examplemail.co.uk,Central,bristol ,confirmed by client
Ivy Bennett,00000000000,0,ivy.bennett@examplemail.co,ivy.bennett@examplemail.co.uk,NORTH HQ,BRISTOL,admin amended
Eleanor Redford,00000000000,0,eleanor.redford@@examplemail.co.uk,eleanor.redford@examplemail.co.uk,south,LEEDS,branch updated
Arthur Mercer,07463016614,7463016614,arthur.mercer@@examplemail.co.uk,arthur.mercer@examplemail.co.uk,North,birminham,email corrected
