source_row_number,record_id,customer_id,source_file,source_type,customer_name_raw,customer_name_clean,phone_raw,phone_clean,email_raw,email_clean,invoice_no_raw,invoice_no_clean,transaction_date_raw,transaction_date_clean,service_or_product_raw,service_or_product_clean,category_raw,category_clean,branch_raw,branch_clean,city_raw,city_clean,country,amount_raw,amount_clean,quantity,duplicate_flag,missing_field_flag,contact_valid_flag,date_valid_flag,amount_valid_flag,validation_status,review_notes
1,,,branch_north.xlsx,branch,Phoebe  Winslow,,+44 7879 591 310,,phoebe.winslow@@examplemail.co.uk,,INV-1000,,04 Apr 2025,,Maint Visit,,Basic,,North,,Leedz,,United Kingdom,200,,1,,,,,,,
2,,,branch_north.xlsx,branch,THEODORE MARLOWE,,00447599154414,,theodore.marlowe@@examplemail.co.uk,,INV-1001,,25/03/25,,deep cleaning package,,prem,,central office,,Bristol City,,United Kingdom, 200 ,,1,,,,,,,
3,,,branch_north.xlsx,branch,florence prescott,,00447630833445,, florence.prescott@examplemail.co.uk ,,INV 1002,,2025-02-01,,Store Refresh,,Premium,,Central Hub,,Bristol City,,United Kingdom,600,,3,,,,,,,
4,,,branch_north.xlsx,branch,Beatrice Harrington,,00447941889393,,BEATRICE.HARRINGTON@EXAMPLEMAIL.CO.UK,,INV 1003,,12 March 2025,,maintenance visit,,STD,,South,,Leeds,,United Kingdom,£275,,1,,,,,,,
5,,,branch_north.xlsx,branch, Edward Marlowe ,,07509760,,edward.marlowe@examplemail.co,,INV-1004,,07 Feb 2025,,inventory audit,,Basic,,North Branch,,BRISTOL,,United Kingdom,250.00,,1,,,,,,,
6,,,branch_north.xlsx,branch,daniel chadwick,,00447336696312,,daniel.chadwick@@examplemail.co.uk,,1005,,19 Mar 2025,,Maintenance Visit,,Basic,,Central,,BRISTOL,,United Kingdom, 600 ,,3,,,,,,,
7,,,branch_north.xlsx,branch,Arthur  Templeton,,07806157,,arthur.templeton@examplemail.co,,INV-1006,,2025-04-01,,Refresh,,Premium,,South,,birminham,,United Kingdom,550.00,,2,,,,,,,
8,,,branch_north.xlsx,branch,Freya  Crawford,,07966647391,,freya.crawford@examplemail.co,,INV-1007,,22-03-2025,,Install Support,,Basic,,south,,Leedz,,United Kingdom, 275 ,,1,,,,,,,
9,,,branch_north.xlsx,branch,Poppy Templeton,,00000000000,, poppy.templeton@examplemail.co.uk ,,1008,,03/04/25,,Maint Visit,,STD,,North,,Leedz,,United Kingdom,190.00,,2,,,,,,,
10,,,branch_north.xlsx,branch,POPPY SINCLAIR,,+44 7508 157 429,,poppy.sinclair@examplemail.co,,inv-1009,,14/03/25,,maintenance visit,,Standard,,North Branch,,Bham,,United Kingdom, 300 ,,2,,,,,,,
11,,,branch_north.xlsx,branch,sophie bramwell,,+44 7153 992 714,,sophie.bramwell@examplemail.co,,inv 1010,,26/02/25,,Operational Check,,Basic,,south,,MANCHESTER,,United Kingdom,500,,2,,,,,,,
12,,,branch_north.xlsx,branch,Clara Bennett,,00000000000,,CLARA.BENNETT@EXAMPLEMAIL.CO.UK,,inv 1011,,13 March 2025,,Prem Consult,,premium service,,Central,,BIRMINGHAM,,United Kingdom,£285,,3,,,,,,,
13,,,branch_north.xlsx,branch,Sebastian Chadwick,,07214 518 079,,sebastian.chadwick@examplemail.co,,INV1012,,06/02/25,,customer care review,,Std,,South Branch,,BRISTOL,,United Kingdom,450,,2,,,,,,,
14,,,branch_north.xlsx,branch,Eliza Ellison,,+44 7220 117 054,,ELIZA.ELLISON@EXAMPLEMAIL.CO.UK,,inv-1013,,20 Mar 2025,,customer care review,,STD,,south,,BIRMINGHAM,,United Kingdom, 800 ,,4,,,,,,,
15,,,branch_north.xlsx,branch,NATHAN SINCLAIR,,07379 995 032,,NATHAN.SINCLAIR@EXAMPLEMAIL.CO.UK,,INV-1014,,09-03-2025,,premium consultation,,P,,South,,LEEDS,,United Kingdom, 95 ,,1,,,,,,,
16,,,branch_north.xlsx,branch, Matilda Fletcher ,,07153921,, matilda.fletcher@examplemail.co.uk ,,inv 1015,,26/01/25,,On Site Setup,,STD,,CENTRAL BRANCH,,Bristol City,,United Kingdom,175,,1,,,,,,,
17,,,branch_north.xlsx,branch,Imogen  Bennett,,00447768548027,,imogen.bennett@examplemail.co,,inv 1016,,08/02/25,,On Site Setup,,Basic,,north,,Leedz,,United Kingdom, 200 ,,1,,,,,,,
18,,,branch_north.xlsx,branch,George Langley,,07959629660,, george.langley@examplemail.co.uk ,,INV1017,,2025-03-20,,Inventory Audit,,Std,,Central Hub,,leeds ,,United Kingdom,£95,,1,,,,,,,
19,,,branch_north.xlsx,branch,THEODORE DARLINGTON,,07678 998 028,,theodore.darlington@@examplemail.co.uk,,inv-1018,,2025-02-24,,Deep Cleaning Package,,prem,,South,,MANCHESTER,,United Kingdom,150.00,,1,,,,,,,
20,,,branch_north.xlsx,branch,martha pritchard,,00000000000,, martha.pritchard@examplemail.co.uk ,,INV 1019,,26-01-2025,,DC,,premium service,,North,,Manchester,,United Kingdom,275,,1,,,,,,,
21,,,branch_north.xlsx,branch,SAMUEL BLACKWELL,,07461203124,,samuel.blackwell@examplemail.co,,1020,,16 March 2025,,CCR,,Std,,CENTRAL BRANCH,,bristol ,,United Kingdom,£700,,4,,,,,,,
22,,,branch_north.xlsx,branch,phoebe huxley,,00447396618390,,PHOEBE.HUXLEY@EXAMPLEMAIL.CO.UK,,INV-1021,,04-04-2025,,Deep Cleaning Package,,prem,,NORTH HQ,,Bham,,United Kingdom,380.00,,4,,,,,,,
23,,,branch_north.xlsx,branch,jack sutton,,00447790256940,, jack.sutton@examplemail.co.uk ,,inv 1022,,02-03-2025,,Op Check,,Standard,,South,,Bristol City,,United Kingdom,£1100,,4,,,,,,,
24,,,branch_north.xlsx,branch,HENRY TEMPLETON,,00000000000,, henry.templeton@examplemail.co.uk ,,INV 1023,,20 February 2025,,premium consultation,,P,,North Branch,,BIRMINGHAM,,United Kingdom,150.00,,1,,,,,,,
25,,,branch_north.xlsx,branch, Harry Blackwell ,,07216396,,harry.blackwell@examplemail.co,,INV 1024,,01 April 2025,,Install Support,,Basic,,south,,Birmingham,,United Kingdom, 800 ,,4,,,,,,,
26,,,branch_north.xlsx,branch,Theodore  Sterling,,07696776072,,theodore.sterling@@examplemail.co.uk,,inv 1025,,28 March 2025,,Priority Call,,P,,CENTRAL BRANCH,,Leeds,,United Kingdom, 175 ,,1,,,,,,,
27,,,branch_north.xlsx,branch,amelia bramwell,,00447213321496,,AMELIA.BRAMWELL@EXAMPLEMAIL.CO.UK,,INV 1026,,08 Feb 2025,,Op Check,,Std,,south office,,bristol ,,United Kingdom,£1000,,4,,,,,,,
28,,,branch_north.xlsx,branch,Eleanor  Pritchard,,07434961,,eleanor.pritchard@examplemail.co,,1027,,19 Feb 2025,,Prem Consult,,prem,,North,,BIRMINGHAM,,United Kingdom,675,,3,,,,,,,
29,,,branch_north.xlsx,branch, Theodore Redford ,,07575808,,theodore.redford@examplemail.co.uk,,1028,,18/01/25,,Op Check,,STD,,NORTH BRANCH,,Bham,,United Kingdom,250,,1,,,,,,,
30,,,branch_north.xlsx,branch,florence collins,,07679153,,florence.collins@examplemail.co.uk,,INV1029,,26 Jan 2025,,Customer Care Review,,STD,,SOUTH,,Manchester,,United Kingdom,360.00,,3,,,,,,,
31,,,branch_north.xlsx,branch,rosie templeton,,07750572,,rosie.templeton@examplemail.co.uk,,inv 1030,,05/04/25,,Customer Care Review,,Std,,south office,,manchester ,,United Kingdom, 600 ,,3,,,,,,,
32,,,branch_north.xlsx,branch,poppy mercer,,07443285,,poppy.mercer@examplemail.co.uk,,INV1031,,24 Mar 2025,,premium consultation,,Premium,,South Branch,,Leeds,,United Kingdom,£550,,2,,,,,,,
33,,,branch_north.xlsx,branch, Phoebe Hollis ,,00000000000,,phoebe.hollis@examplemail.co,,inv-1032,,23 February 2025,,Premium Consultation,,premium service,,south,,birminham,,United Kingdom,200.00,,1,,,,,,,
34,,,branch_north.xlsx,branch,ZARA CRAWFORD,,00000000000,,zara.crawford@examplemail.co.uk,,inv-1033,,05 Mar 2025,,on site setup,,Basic,,south office,,LEEDS,,United Kingdom,£285,,3,,,,,,,
35,,,branch_north.xlsx,branch, Harry Sinclair ,,07825 003 955,,harry.sinclair@examplemail.co,,INV 1034,,2025-02-18,,maintenance visit,,Standard,,Central,,BIRMINGHAM,,United Kingdom,150.00,,1,,,,,,,
36,,,branch_north.xlsx,branch,Samuel  Bramwell,,00000000000,,samuel.bramwell@examplemail.co.uk,,inv-1035,,04-04-2025,,Installation Support,,STD,,Central Hub,,BIRMINGHAM,,United Kingdom,190,,2,,,,,,,
